Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_j5_link,-0.00637501,0.00347882,-0.07615987,0,0,0,0.18385374,0.00018036,-6.356E-05,-2.663E-05,0.00026793,1.491E-05,0.00020502,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j5_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j5_link.STL,,机械臂总装B-1/夹爪装配-1/M3x50铝柱-4;机械臂总装B-1/夹爪装配-1/J6夹爪连接板3mm-1;机械臂总装B-1/夹爪装配-1/M3x50铝柱-2;机械臂总装B-1/夹爪装配-1/M3x50铝柱-3;机械臂总装B-1/夹爪装配-1/M3x50铝柱-5;机械臂总装B-1/夹爪装配-1/夹爪电机连接板3mm-1;机械臂总装B-1/夹爪装配-1/夹爪固定框打印夹层-1;机械臂总装B-1/夹爪装配-1/夹爪上下固定板3mm-2;机械臂总装B-1/夹爪装配-1/夹爪上下固定板3mm-1,left_j5_link_co,left_j5_axis,left_j5,revolute,0.012368,-0.00013084,-0.05596,3.131,-1.5708,0,left_j4_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
left_end_link,-0.17921111049184,-0.195240087060455,-0.151961538435806,0,0,0,22.695221395266,0.883706649266009,-0.00252844660310929,0.000156822621981079,1.10225697396781,0.0822134283667934,0.985641182846844,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_end_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_end_link.STL,,,left_end_co,right_end_axis,left_end,revolute,0,-0.0005,-0.12263,-3.1416,0,0,left_j5_link,0,0.017998,-0.99984,0,0,-3.15,3.15,,,,,,,,
left_end_left_link,0.039805,0.023702,-0.02758,0,0,0,0.034505,6.875E-06,-5.0506E-06,-1.1272E-07,1.8207E-05,-5.3428E-08,1.7529E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_end_left_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_end_left_link.STL,,机械臂总装B-1/夹爪装配-1/夹爪片3mm-8;机械臂总装B-1/夹爪装配-1/打印夹爪夹层-6;机械臂总装B-1/夹爪装配-1/夹爪片3mm-6,left_end_left_co,left_end_left_axis,left_end_left,revolute,0.0155,-0.028,-0.10663,-3.1416,1.5602,1.5708,left_j5_link,0.010578,0,-0.99994,0,0,-1.5708,1.5708,,,,,,,,
left_end_right_link,0.0392,-0.024683,-0.027587,0,0,0,0.034505,7.1347E-06,5.3276E-06,-1.0997E-07,1.7947E-05,5.6359E-08,1.7529E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_end_right_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_end_right_link.STL,,机械臂总装B-1/夹爪装配-1/夹爪片3mm-9;机械臂总装B-1/夹爪装配-1/夹爪片3mm-5;机械臂总装B-1/夹爪装配-1/打印夹爪夹层-5,left_end_right_co,left_end_right_axis,left_end_right,revolute,-0.0155,-0.028,-0.10663,-3.1416,1.5602,1.5708,left_j5_link,0.010578,0,-0.99994,0,0,-1.5707963267,1.5707963267,,,,,,,,
right_j0_link,-4.996E-16,-0.0028189,0.022992,0,0,0,0.26855,0.00028445,-2.3656E-18,-1.0072E-19,0.00039688,1.7247E-20,0.00040291,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j0_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j0_link.STL,,机械臂总装-1/机械臂底座后加固打印件2-1;机械臂总装-1/J1底座板-1;机械臂总装-1/J1电机连接板-1;机械臂总装-1/J1铝管链接板-1;机械臂总装-1/机械臂底座后加固打印件2-2,right_j0_link_co,right_j0_axis,right_j0,revolute,-0.01677,-0.0975,0.032,0,0,0,base_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
right_j1_link,-0.15192,0.068632,0.075861,0,0,0,0.23073,0.00068673,0.0011537,1.8981E-05,0.0027312,-8.5746E-06,0.0033374,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j1_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j1_link.STL,,机械臂总装-1/J2电机保护壳-1;机械臂总装-1/J1电机输出&铝管补强板件-1;机械臂总装-1/大臂铝方管40x60x1.2-1;机械臂总装-1/J1电机输出&铝管补强板件2-1,right_j1_link_co,right_j1_axis,right_j1,revolute,0,0.055,0.06,1.5708,0,0,right_j0_link,0,0,1,0,0,-3.15,3.15,,,,,,,,
right_j2_link,0.06557,-0.00041642,0.036685,0,0,0,0.28304,0.0001704,3.7181E-06,-1.4698E-06,0.00074243,9.4389E-09,0.0007364,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j2_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j2_link.STL,,机械臂总装-1/J3上保护板-1;机械臂总装-1/J2碳板（悬空侧）-1;机械臂总装-1/J3上保护板-3;机械臂总装-1/J2碳板(电机侧）-1;机械臂总装-1/J3后侧加固板-1;机械臂总装-1/J3交叉滚子轴承外圈限位固定件-1;机械臂总装-1/J3电机定子固定件-1,right_j2_link_co,right_j2_axis,right_j2,revolute,-0.32352,0.14615,0.10085,0,0,0,right_j1_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
right_j3_link,-4.7746E-12,1.2156E-10,-0.035322,0,0,0,0.16798,0.00014802,1.0997E-14,-4.2346E-15,0.00015731,1.3049E-13,9.9925E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j3_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j3_link.STL,,机械臂总装-1/末端差速器保护壳-2;机械臂总装-1/末端差速器侧板-1;机械臂总装-1/六面连接块M3x8-H8x22-1;机械臂总装-1/末端差速器保护壳-1;机械臂总装-1/六面连接块M3x8-H8x22-3;机械臂总装-1/末端差速器侧板-2;机械臂总装-1/J3J4连接加工件-1;机械臂总装-1/六面连接块M3x8-H8x22-2;机械臂总装-1/六面连接块M3x8-H8x22-4,right_j3_link_co,right_j3_axis,right_j3,revolute,0.1565,-0.0010052,0.0365,-0.0064229,-1.5708,0,right_j2_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
right_j4_link,0.027201,0.00020186,-0.056024,0,0,0,0.058877,4.7302E-05,1.4624E-07,-2.6303E-19,2.7597E-05,4.9583E-21,2.7796E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j4_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j4_link.STL,,机械臂总装-1/差速器链接正板-1;机械臂总装-1/末端差速器轴承法兰限位-1;机械臂总装-1/差速器固定侧板-2;机械臂总装-1/差速器固定侧板-1,right_j4_link_co,right_j4_axis,right_j4,revolute,-0.056,0,-0.112,-1.5708,1.5644,1.5708,right_j3_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
right_j5_link,1.1227E-14,-1.9362E-05,-0.089337,0,0,0,0.075033,1.0526E-05,-1.05E-18,-3.2974E-19,3.2251E-05,-4.6391E-09,3.0045E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j5_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_j5_link.STL,,机械臂总装-1/夹爪装配-1/J6夹爪连接板3mm-1;机械臂总装-1/夹爪装配-1/M3x50铝柱-5;机械臂总装-1/夹爪装配-1/M3x50铝柱-4;机械臂总装-1/夹爪装配-1/M3x50铝柱-3;机械臂总装-1/夹爪装配-1/M3x50铝柱-2;机械臂总装-1/夹爪装配-1/夹爪电机连接板3mm-1;机械臂总装-1/夹爪装配-1/夹爪上下固定板3mm-1;机械臂总装-1/夹爪装配-1/夹爪上下固定板3mm-2;机械臂总装-1/夹爪装配-1/夹爪固定框打印夹层-1,right_j5_link_co,right_j5_axis,right_j5,revolute,0.012369,9.179E-05,-0.05604,3.1342,-1.5708,0,right_j4_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
right_end_link,0.18057,-0.19343,-0.14826,0,0,0,22.695,0.88371,-0.0025252,0.00020231,1.1052,0.080062,0.98272,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_end_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_end_link.STL,,,right_end_co,right_end_axis,right_end,revolute,0,0.0005,-0.12263,3.1416,0,0,right_j5_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
right_end_left_link,0.038697,0.024683,-0.028288,0,0,0,0.034505,7.1341E-06,-5.3278E-06,7.7151E-08,1.7947E-05,3.9539E-08,1.7529E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_end_left_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_end_left_link.STL,,机械臂总装-1/夹爪装配-1/夹爪片3mm-5;机械臂总装-1/夹爪装配-1/打印夹爪夹层-5;机械臂总装-1/夹爪装配-1/夹爪片3mm-9,right_end_left_co,right_end_left_axis,right_end_left,revolute,0.0155,-0.028,-0.10663,0,1.5634,-1.5708,right_j5_link,-0.007421,0,-0.99997,0,0,-1.5708,1.5708,,,,,,,,
right_end_right_link,0.039303,-0.023702,-0.028292,0,0,0,0.034505,6.8744E-06,5.0507E-06,7.9078E-08,1.8207E-05,-3.7482E-08,1.7529E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_end_right_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/right_end_right_link.STL,,机械臂总装-1/夹爪装配-1/夹爪片3mm-8;机械臂总装-1/夹爪装配-1/打印夹爪夹层-6;机械臂总装-1/夹爪装配-1/夹爪片3mm-6,right_end_right_co,right_end_right_axis,right_end_right,revolute,-0.0155,-0.028,-0.10663,0,1.5634,-1.5708,right_j5_link,-0.007421,0,-0.99997,0,0,-1.5708,1.5708,,,,,,,,
lift_platform_link,-0.002476508677881,0.0121146154374714,-0.18508932432801,0,0,0,0.0632558738654114,0.000646699040971394,3.91588634116518E-09,-3.02100764444223E-07,0.000651722046164558,-1.80581316422463E-06,1.26311935622584E-05,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/lift_platform_link.STL,0.192156862745098,0.192156862745098,0.192156862745098,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/lift_platform_link.STL,,图传升降装置-1/RoboMaster裁判系统相机图传模块（发送端）VT03 STEP-1;图传升降装置-1/图传升降端铝方管350-1,lift_platform_co,lift_platform_axis,lift_platform,prismatic,-0.12427,-0.044497,0.38835,0,0,0,base_link,0,0,-1,0,0,-0.05,0.6,,,,,,,,
